Pixel, Red, Green, Blue, Fire
1567,222,137,98,0
1568,223,136,93,0
1569,234,143,99,0
1570,246,153,109,0
1571,254,157,112,0
1572,255,161,112,0
1573,255,167,118,0
1574,255,173,119,0
1575,255,177,122,0
1576,255,181,123,0
1577,255,186,127,0
1578,255,197,137,0
1579,255,208,135,0
1580,255,201,132,0
1581,255,192,131,0
1582,251,182,123,0
1583,251,178,123,0
1584,250,177,122,0
1585,248,171,117,0
1586,243,166,112,0
1587,242,162,113,0
1588,242,162,113,0
1589,234,156,108,0
1590,231,153,105,0
1591,227,150,106,0
1592,223,146,102,0
1593,220,142,103,0
1594,217,139,100,0
1595,213,135,97,0
1596,208,132,96,0
1597,202,126,92,0
1598,199,124,92,0
1599,196,121,90,0
1600,193,118,89,0
1601,191,122,91,0
1602,196,122,93,0
1603,201,124,94,0
1604,209,130,99,0
1605,216,133,99,0
1606,223,138,101,0
1607,224,135,95,0
1608,235,143,102,0
1609,249,156,112,0
1610,255,159,114,0
1611,255,162,113,0
1612,255,170,120,0
1613,255,175,123,0
1614,255,176,121,0
1615,255,183,125,0
1616,255,190,130,0
1617,255,196,136,0
1618,255,211,139,0
1619,255,204,136,0
1620,255,196,135,0
1621,253,184,125,0
1622,255,182,127,0
1623,253,180,125,0
1624,250,173,119,0
1625,244,167,113,0
1626,241,161,112,0
1627,244,164,115,0
1628,236,158,110,0
1629,233,155,107,0
1630,228,151,107,0
1631,225,148,104,0
1632,221,143,104,0
1633,218,140,101,0
1634,214,136,98,0
1635,209,133,97,0
1636,203,127,93,0
1637,200,125,93,0
1638,197,122,91,0
1639,194,119,88,0
1640,191,117,90,0
1641,191,122,91,0
1642,196,122,93,0
1643,202,125,95,0
1644,209,130,99,0
1645,217,134,100,0
1646,227,139,103,0
1647,224,135,95,0
1648,237,145,104,0
1649,252,159,116,0
1650,255,161,118,0
1651,255,163,116,0
1652,255,171,122,0
1653,255,175,123,0
1654,255,178,123,0
1655,255,184,128,0
1656,255,189,131,0
1657,255,197,136,0
1658,255,206,137,0
1659,255,199,137,0
1660,255,187,128,0
1661,255,185,130,0
1662,254,181,126,0
1663,250,173,119,0
1664,245,168,114,0
1665,241,161,112,0
1666,244,164,115,0
1667,237,159,111,0
1668,235,157,109,0
1669,230,153,109,0
1670,226,149,105,0
1671,222,144,105,0
1672,219,141,102,0
1673,215,137,99,0
1674,210,134,98,0
1675,203,127,93,0
1676,200,125,93,0
1677,197,122,91,0
1678,194,119,88,0
1679,191,117,90,0
1680,191,122,91,0
1681,196,122,93,0
1682,203,126,96,0
1683,210,131,100,0
1684,218,135,103,0
1685,229,141,105,0
1686,224,135,95,0
1687,239,146,105,0
1688,254,161,118,0
1689,255,162,119,0
1690,255,165,117,0
1691,255,172,123,0
1692,255,176,123,0
